Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Percent of the population who cannot afford a healthy diet [CoHD_headcount]
Food Prices for Nutrition 2.1,FPN 2.1,Ghana,GHA,2021,YR2021,77.3
Food Prices for Nutrition 2.1,FPN 2.1,Greece,GRC,2021,YR2021,2.2
Food Prices for Nutrition 2.1,FPN 2.1,Grenada,GRD,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Guinea,GIN,2021,YR2021,88.9
Food Prices for Nutrition 2.1,FPN 2.1,Guinea-Bissau,GNB,2021,YR2021,84.6
Food Prices for Nutrition 2.1,FPN 2.1,Guyana,GUY,2021,YR2021,18.5
Food Prices for Nutrition 2.1,FPN 2.1,Haiti,HTI,2021,YR2021,89.5
Food Prices for Nutrition 2.1,FPN 2.1,High income,HIC,2021,YR2021,1.4
Food Prices for Nutrition 2.1,FPN 2.1,Honduras,HND,2021,YR2021,44.8
Food Prices for Nutrition 2.1,FPN 2.1,Hong Kong,HKG,2021,YR2021,..
Food Prices for Nutrition 2.1,FPN 2.1,Hungary,HUN,2021,YR2021,1.5
Food Prices for Nutrition 2.1,FPN 2.1,Iceland,ISL,2021,YR2021,0
Food Prices for Nutrition 2.1,FPN 2.1,India,IND,2021,YR2021,72
Food Prices for Nutrition 2.1,FPN 2.1,Indonesia,IDN,2021,YR2021,70.8
Food Prices for Nutrition 2.1,FPN 2.1,Iran,IRN,2021,YR2021,28.8
Food Prices for Nutrition 2.1,FPN 2.1,Iraq,IRQ,2021,YR2021,18.8
Food Prices for Nutrition 2.1,FPN 2.1,Ireland,IRL,2021,YR2021,0.1
Food Prices for Nutrition 2.1,FPN 2.1,Israel,ISR,2021,YR2021,1.2
Food Prices for Nutrition 2.1,FPN 2.1,Italy,ITA,2021,YR2021,1.5
Food Prices for Nutrition 2.1,FPN 2.1,Jamaica,JAM,2021,YR2021,62.6
Food Prices for Nutrition 2.1,FPN 2.1,Japan,JPN,2021,YR2021,2.4
Food Prices for Nutrition 2.1,FPN 2.1,Jordan,JOR,2021,YR2021,16
